Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
L1_2,sex1,Milieu_2,Plate_1,7.548,1.212,0.159,3.5,2,2,1.560,0.070,1.570
L1_3,sex1,Milieu_2,Plate_1,7.609,1.196,0.159,3.5,2,2,1.560,0.059,1.431
L1_4,sex1,Milieu_2,Plate_1,6.224,1.157,0.145,5,3,1,1.153,0.085,1.648
L1_5,sex1,Milieu_2,Plate_1,4.782,1.348,0.202,9.2,4,5,1.410,0.120,2.599
L1_6,sex1,Milieu_2,Plate_1,7.511,1.393,0.202,9.2,4,5,1.410,0.072,1.372
L1_7,sex1,Milieu_2,Plate_1,5.8,1.165,0.202,9.2,4,5,1.410,0.081,1.727
L1_8,sex1,Milieu_2,Plate_1,6.883,1.134,0.202,9.2,4,5,1.410,0.051,1.029
L1_9,sex1,Milieu_2,Plate_1,5.168,1.171,0.202,9.2,4,5,1.410,0.049,1.055
L1_10,sex1,Milieu_2,Plate_1,4.428,1.178,0.233,11,5,3,1.547,0.127,2.476
L1_11,sex1,Milieu_2,Plate_1,6.876,1.156,0.233,11,5,3,1.547,0.048,0.904
L1_12,sex1,Milieu_2,Plate_1,4.823,1.136,0.128,5,6,1,1.739,0.086,1.440
L1_13,sex1,Milieu_2,Plate_1,7.438,1.230,0.312,16.5,8,2,2.523,0.090,1.650
L1_14,sex1,Milieu_2,Plate_1,3.568,1.206,0.114,4,9,1,1.217,0.166,2.844
L1_15,sex1,Milieu_2,Plate_1,10.336,1.161,0.312,16.5,8,2,2.523,0.145,2.969
L1_16,sex1,Milieu_2,Plate_1,7.06,1.175,0.210,8,7,1,1.517,0.069,1.472
L1_17,sex1,Milieu_2,Plate_1,7.818,1.157,0.233,11,5,3,1.547,0.075,1.727
L2_1,sex1,Milieu_2,Plate_2,8.181,1.160,0.128,1,1,2,0.000,0.037,0.900
L2_2,sex1,Milieu_2,Plate_2,4.471,1.205,0.128,1,1,2,0.000,0.031,0.611
L2_3,sex1,Milieu_2,Plate_2,6.329,1.097,0.158,8,2,1,1.833,0.060,1.220
L2_4,sex1,Milieu_2,Plate_2,10.197,1.144,0.295,12.5,3,2,1.841,0.061,1.284
L2_5,sex1,Milieu_2,Plate_2,7.554,1.142,0.295,12.5,3,2,1.841,0.117,2.587
L2_6,sex1,Milieu_2,Plate_2,8.743,1.149,0.268,11,4,1,1.502,0.102,1.875
L2_7,sex1,Milieu_2,Plate_2,7.342,1.336,0.296,12,7,1,1.846,0.075,1.159
L2_8,sex1,Milieu_2,Plate_2,3.895,1.297,0.116,3,8,1,0.390,0.066,1.145
L2_9,sex1,Milieu_2,Plate_2,8.365,1.193,0.270,10,9,1,1.939,0.141,2.131
L2_10,sex1,Milieu_2,Plate_2,1.698,1.144,0.051,2,6,1,0.926,0.052,0.698
L2_11,sex1,Milieu_2,Plate_2,6.181,1.184,0.230,9,5,1,2.017,0.094,1.383
M1_1,sex1,Milieu_3,Plate_1,0.13,1.237,0.004,0,2,1,0.000,0.011,0.101
M1_2,sex1,Milieu_3,Plate_1,0.436,1.036,0.007,0,3,1,0.000,0.015,0.138
M1_3,sex1,Milieu_3,Plate_1,0.095,1.058,0.005,0,6,1,0.000,0.011,0.134
M1_4,sex1,Milieu_3,Plate_1,1.023,1.066,0.021,1,7,1,0.000,0.030,0.457
M1_5,sex1,Milieu_3,Plate_1,0.93,1.213,0.029,1,9,1,0.000,0.018,0.265
M1_6,sex1,Milieu_3,Plate_1,0.406,1.093,0.013,1,11,1,0.000,0.016,0.167
M1_7,sex1,Milieu_3,Plate_1,1.017,1.122,0.028,1,12,1,0.000,0.021,0.218
M1_8,sex1,Milieu_3,Plate_1,0.085,1.049,0.006,1,14,1,0.000,0.005,0.036
M1_9,sex1,Milieu_3,Plate_1,7.072,1.078,0.183,6,15,1,1.123,0.151,2.232
M1_10,sex1,Milieu_3,Plate_1,0.339,1.010,0.007,0,16,1,0.000,0.013,0.138
M1_11,sex1,Milieu_3,Plate_1,0.31,1.057,0.012,1,13,1,0.000,0.016,0.127
M1_12,sex1,Milieu_3,Plate_1,0.952,1.144,0.023,0,10,1,0.000,0.020,0.215
M1_13,sex1,Milieu_3,Plate_1,0.132,1.073,0.005,0,8,1,0.000,0.014,0.371
M1_14,sex1,Milieu_3,Plate_1,4.553,1.123,0.169,3,5,1,0.503,0.139,1.976
M1_15,sex1,Milieu_3,Plate_1,0.298,1.068,0.005,0,4,1,0.000,0.012,0.126
M1_16,sex1,Milieu_3,Plate_1,2.068,1.085,0.040,0,1,1,0.000,0.027,0.427
M2_1,sex1,Milieu_3,Plate_2,0.611,1.274,0.014,0,1,1,0.000,0.015,0.193
M2_2,sex1,Milieu_3,Plate_2,0.174,1.077,0.010,1,3,1,0.000,0.014,0.147
M2_3,sex1,Milieu_3,Plate_2,0.225,1.367,0.011,1,4,1,0.000,0.010,0.110
M2_4,sex1,Milieu_3,Plate_2,3.342,1.060,0.072,1,6,1,0.000,0.057,0.722
M2_5,sex1,Milieu_3,Plate_2,0.066,1.033,0.005,1,7,1,0.000,0.010,0.081
M2_6,sex1,Milieu_3,Plate_2,2.266,1.066,0.056,2,9,1,0.261,0.031,0.373
